"KigC100","KigC1200","KigC150","KigC250","KigC300","KigCa35","KigCa65","KigCas0","KigOff0","KigOff120","KigOff40","KigOff80","KigOffSurface","MahC100","MahC200","MahC400","MahCa10","MahCa50","MahCa65","Mahsurface_10","Mahsurface_6","Mahsurface_7","Mahsurface_8","Mahsurface_9","Simplified.Taxonomy","max"
61.13958911,49.28091287,43.69123366,33.17220792,42.57918416,24.21229901,130.1528624,25.76712673,15.21886634,225.4389545,29.08503762,315.8197673,21.74692178,63.4431495,36.58527723,57.92124059,27.14411188,212.1732347,177.3689525,23.76578416,21.77735347,18.97756337,30.53347624,31.68316436,"Actinobacteria",315.8197673
21.76243387,41.41113306,26.05843145,16.61847742,25.98873226,4.10406371,137.1780645,3.370317742,0.82365,162.885721,2.643258871,213.6171548,1.454378226,30.39146935,23.21911452,28.06549516,5.706247581,155.5675677,109.7486,1.10103871,1.353940323,0.631525806,1.795123387,2.270537097,"Acidobacteria",213.6171548
729.8405073,598.6467785,602.191352,750.7018348,506.9339773,1276.43789,541.3834383,1478.751802,1143.683201,302.2700364,1496.085891,531.0326515,1265.053561,1126.911393,460.1662189,1057.117289,1287.587679,674.9269645,482.597491,1865.882675,1356.643101,1596.265081,2346.220999,1930.689372,"Actinobacteria",2346.220999
129.5575884,157.0556302,132.3106651,175.5428256,111.4439581,251.3916047,102.014693,315.4948535,145.3509581,26.08833488,215.5959698,82.55864884,216.1642488,165.6504395,76.30916977,166.7069256,210.973886,88.94235116,69.46158372,282.3066163,184.188214,236.2643047,368.1054326,267.0156953,"Actinobacteria",368.1054326
8.548944068,9.919822034,8.753322034,12.30466102,7.760025424,17.65117119,6.925283051,21.82822712,20.44944746,6.25509322,34.82209661,16.06354068,24.03125254,18.77447797,8.899461017,19.02851356,22.64640169,9.475938983,7.552537288,27.90701186,17.14894746,24.14666949,34.06463559,32.73910847,"Actinobacteria",34.82209661
10.56512182,11.65010909,10.40468545,7.733823636,8.869252727,6.838854545,29.60542727,7.694789091,4.005736364,63.09746727,7.381003636,74.70834,4.764132727,11.47220182,7.56894,10.37289273,5.590667273,45.32704364,28.17094,3.498874545,2.452109091,2.5629,4.706454545,3.965569091,"Acidobacteria",74.70834
8.248662651,7.950009036,5.968153012,4.071748795,5.084408434,2.311955422,20.91001627,2.269708434,1.325636747,31.38301446,1.614091566,29.28741867,1.534014458,7.598491566,6.152716265,6.967688554,3.953351807,20.15118072,17.94134277,1.179387952,0.765190964,0.906071084,2.107564458,1.441418072,"Acidobacteria",31.38301446
2.935660284,2.896586525,1.963817021,1.450156738,2.164131915,0.621849645,6.091095745,0.472539007,0.205877305,14.7464844,0.389959574,15.2688539,0.259260993,2.950967376,2.196834043,2.795014184,0.810142553,9.416496454,7.799633333,0.172142553,0.178461702,0.133651064,0.342439007,0.332624823,"Acidobacteria",15.2688539
2.930632154,5.556621865,3.635893408,2.557241479,3.918148553,0.592621704,11.3589701,0.406872186,0.1705791,23.80151302,0.434507556,56.04997894,0.186915595,2.629779904,2.464901447,2.509555627,0.812716881,12.28085289,2.940319775,0.244840514,0.158361415,0.160455466,0.313916077,0.232052733,"Acidobacteria",56.04997894
0.882307059,1.290538824,0.990722353,0.771254118,1.227409412,0.376794118,3.420091765,0.177949412,0.03664,11.86398235,0.169632941,27.08137412,0.039838824,0.947737647,0.923494118,1.073992941,0.391214118,2.946683529,1.480730588,0.075149412,0.046907059,0.068630588,0.104707059,0.061012941,"Acidobacteria",27.08137412
3.277512542,4.033610169,2.649476949,1.545388475,2.483115593,0.11562339,13.58269322,0.084108136,0.043373559,15.49483254,0.082802373,11.83383356,0.048811186,2.252681356,2.031196271,2.304324746,0.183974576,11.96202915,10.89643695,0.051967458,0.050354915,0.121019661,0.052580339,0.027698305,"Acidobacteria",15.49483254
0.899904527,1.548918107,0.996804938,0.6465893,1.044256379,0.114361317,4.164140329,0.068931276,0.02296214,7.585342798,0.076139918,13.90945926,0.025377366,0.730493004,0.66903251,0.883146091,0.117653909,3.893622222,2.551555556,0.026379424,0.035106173,0.054695885,0.03845144,0.023709465,"Acidobacteria",13.90945926
5.390244848,5.784413939,5.237822424,6.100617576,4.457921818,11.61568485,4.030137576,11.95184242,4.969690909,1.450348485,7.980645455,3.553516364,6.074687273,6.633190909,3.696158182,7.084589091,8.15584,3.824093333,3.026492727,5.656401212,2.602672727,4.625483636,8.780513333,5.78551697,"Actinobacteria",11.95184242
4.121799138,3.309777586,3.84062069,4.903155172,2.656003448,6.959374138,2.874462931,9.453351724,12.32010086,0.362156897,14.01651034,0.759887931,12.19201121,5.263342241,2.748394828,6.220148276,7.186735345,3.023823276,2.366406897,9.353787069,5.443372414,7.429368103,13.25719569,8.463163793,"Actinobacteria",14.01651034
10.1034146,8.51279781,10.05176423,8.098861314,7.966594161,10.24281314,15.67096788,8.452221898,4.301593431,18.2835365,7.709745255,33.40240949,10.61002847,9.042543066,11.14613796,12.14337591,6.824249635,17.34468832,14.02500073,2.951435766,0.727753285,1.902038686,4.444723358,1.832472993,"Actinobacteria",33.40240949
2.661334805,3.641363377,3.256255065,1.92301974,2.778471169,0.848011429,6.59575013,0.532160779,0.186837662,11.8070226,0.452743117,14.74097273,0.348995584,2.461564416,2.222449351,3.364831429,0.876419481,11.8561774,9.380976104,0.239108312,0.213058442,0.488181299,0.462998961,0.286116104,"Actinobacteria",14.74097273
1.180404469,2.608596788,1.653248045,1.038797765,1.755110615,0.220517877,5.236260615,0.198231145,0.125850279,7.98922095,0.204141899,10.97632612,0.136496089,1.225217179,0.894043436,1.578856425,0.261233799,7.315719693,3.597052235,0.109874162,0.076766201,0.15789986,0.13700433,0.091844832,"Actinobacteria",10.97632612
